% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
394 +3.817307384e+02 +3.817307384e+02 +3.953607384e+02 +1.363000000e+01 -4.9448e-01 -3.0045e-01 +3.1743e+00 -1.4115e+00 -2.6608e+00 -1.1717e+00 +4.0563e+00 +1.5087e+00 -6.8431e-01 -2.5500e+00 -2.8992e-01 -4.2497e+00 +6.1089e-02 +1.2172e+00 -7.6600e-02 +3.2630e+00 -2.4311e+00 -5.9082e-01 +5.6724e-02 +2.4339e+00
1375 +2.465641094e+02 +2.465641094e+02 +2.601941094e+02 +1.363000000e+01 +2.1016e+00 -4.2443e-01 +2.1142e+00 +7.2581e-01 -6.7363e-01 -1.7350e+00 +8.8682e-01 +1.5087e+00 -1.6644e+00 +1.3471e+00 +2.7151e+00 -2.7986e+00 +2.8510e+00 +9.1946e-01 +8.8300e-01 +6.9863e-01 -1.9417e+00 +1.1454e+00 +1.8353e-01 +1.0845e+00
8857 +1.560970303e+02 +1.560970303e+02 +1.697270303e+02 +1.363000000e+01 +2.0992e+00 -4.2443e-01 +1.2951e+00 -8.8338e-02 -6.7363e-01 -1.7350e+00 +8.8682e-01 +1.5416e+00 -1.5220e+00 +1.3471e+00 +2.7610e+00 -2.8071e+00 +2.8510e+00 +9.1946e-01 -3.3752e-01 +9.2976e-02 -1.9388e+00 +1.1293e+00 +1.8353e-01 +1.0845e+00
204371 +9.926025543e+01 +9.926025543e+01 +1.128902554e+02 +1.363000000e+01 +2.0980e+00 -4.2443e-01 +1.2811e+00 -6.8411e-02 -6.6768e-01 -1.6982e+00 +8.7555e-01 +1.5373e+00 -1.5579e+00 +1.3458e+00 +2.7771e+00 -2.8071e+00 +2.7876e+00 +9.5137e-01 -3.3708e-01 +1.1918e-01 -1.9441e+00 +1.1293e+00 +2.3684e-01 +1.0498e+00
% function evaluation | noise-free fitness - Fopt (-3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.945940280e+02 +7.945940280e+02 +7.574140280e+02 -3.718000000e+01 +3.1561e+00 -4.0146e+00 +1.8477e+00 -1.8805e+00 -1.6337e+00 +1.5230e+00 +2.2625e+00 -2.4890e+00 +7.5925e-01 -1.0595e-01 -3.3419e+00 +1.8170e+00 -4.9126e-01 +7.8819e-01 -2.3512e+00 -2.3112e+00 +4.7829e+00 -3.8149e+00 -4.7587e+00 +4.9348e+00
388 +3.610156616e+02 +3.610156616e+02 +3.238356616e+02 -3.718000000e+01 -7.1632e-01 -2.9526e+00 +1.6089e+00 +9.6308e-01 -1.3327e+00 -1.0068e+00 -2.7045e+00 -1.9494e+00 -1.7253e+00 +4.0026e-01 -1.7437e+00 +2.2308e-02 +2.4433e+00 -2.3710e+00 -1.8263e+00 -1.8154e+00 -2.6710e+00 -2.9452e+00 -2.3401e+00 -3.4531e+00
1290 +2.311873182e+02 +2.311873182e+02 +1.940073182e+02 -3.718000000e+01 -1.2437e+00 -2.9526e+00 +1.0502e+00 +9.6308e-01 -1.3327e+00 -1.0068e+00 -2.9388e+00 +2.5290e+00 -3.7646e-01 +4.0026e-01 -1.7437e+00 +2.2308e-02 +2.4433e+00 -2.3710e+00 -1.8263e+00 -1.8594e+00 +1.0072e+00 -2.7558e+00 +1.4709e+00 -3.6972e+00
13456 +1.583086342e+02 +1.583086342e+02 +1.211286342e+02 -3.718000000e+01 -1.9002e-01 -1.6963e+00 +1.0825e-01 -3.4244e-01 -1.2524e+00 -1.4780e+00 -2.9339e+00 +2.4018e+00 -7.5968e-02 +1.2250e+00 -2.6997e-01 -1.1702e-01 +1.5120e+00 -1.8085e+00 -3.2430e+00 -1.6388e+00 -1.5967e+00 -2.9870e+00 +7.9164e-01 -2.4195e+00
82662 +9.987785716e+01 +9.987785716e+01 +6.269785716e+01 -3.718000000e+01 +2.1715e+00 -1.6236e+00 +2.5191e+00 +1.4428e+00 -1.5381e+00 -5.8371e-01 -2.1198e+00 +2.6283e+00 -1.0382e+00 +2.4525e+00 -2.3040e+00 -2.3432e-01 +5.4347e-01 -1.2508e+00 -2.1807e-01 -2.2502e+00 +8.8628e-02 -2.5511e+00 +4.5535e-01 -1.9099e+00
% function evaluation | noise-free fitness - Fopt (2.275200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.906541618e+02 +9.906541618e+02 +1.218174162e+03 +2.275200000e+02 +2.5802e+00 +2.3483e+00 +1.0419e+00 -4.7774e+00 -6.2234e-01 -2.3132e+00 -1.4093e+00 -3.1748e+00 +1.5047e+00 +4.2025e+00 +4.7970e+00 +2.9793e+00 +3.8178e+00 -3.8352e+00 -1.6757e+00 -4.9903e+00 -1.0394e+00 -4.2344e+00 -2.5789e+00 +1.7434e+00
