% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
699 0 +3.770052989e+01 -1.101994701e+02 -1.101994701e+02
836 0 +3.691490603e+01 -1.109850940e+02 -1.109850940e+02
1187 0 +3.581076906e+01 -1.120892309e+02 -1.120892309e+02
1909 0 +3.543110716e+01 -1.124688928e+02 -1.124688928e+02
2023 0 +3.462612973e+01 -1.132738703e+02 -1.132738703e+02
2594 0 +3.364313026e+01 -1.142568697e+02 -1.142568697e+02
2621 0 +3.284218808e+01 -1.150578119e+02 -1.150578119e+02
2626 0 +3.225020461e+01 -1.156497954e+02 -1.156497954e+02
2888 0 +3.137267234e+01 -1.165273277e+02 -1.165273277e+02
2891 0 +3.089751685e+01 -1.170024832e+02 -1.170024832e+02
5354 0 +3.009637212e+01 -1.178036279e+02 -1.178036279e+02
7140 0 +2.947441388e+01 -1.184255861e+02 -1.184255861e+02
7387 0 +2.861389804e+01 -1.192861020e+02 -1.192861020e+02
7501 0 +2.789930734e+01 -1.200006927e+02 -1.200006927e+02
8396 0 +2.744709521e+01 -1.204529048e+02 -1.204529048e+02
12782 0 +2.691528881e+01 -1.209847112e+02 -1.209847112e+02
17384 0 +2.619330191e+01 -1.217066981e+02 -1.217066981e+02
25706 0 +2.567544335e+01 -1.222245567e+02 -1.222245567e+02
44367 0 +2.510026775e+01 -1.227997322e+02 -1.227997322e+02
53315 0 +2.454660957e+01 -1.233533904e+02 -1.233533904e+02
67399 0 +2.398432968e+01 -1.239156703e+02 -1.239156703e+02
80663 0 +2.344223033e+01 -1.244577697e+02 -1.244577697e+02
119010 0 +2.290324255e+01 -1.249967575e+02 -1.249967575e+02
202807 0 +2.238694138e+01 -1.255130586e+02 -1.255130586e+02
278784 0 +2.187707360e+01 -1.260229264e+02 -1.260229264e+02
514809 0 +2.137821853e+01 -1.265217815e+02 -1.265217815e+02
1348673 0 +2.089295448e+01 -1.270070455e+02 -1.270070455e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.218900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.614764137e+03 +1.392874137e+03 +1.392874137e+03
3 0 +3.142969988e+02 +9.240699882e+01 +9.240699882e+01
4 0 +2.098350605e+02 -1.205493951e+01 -1.205493951e+01
5 0 +1.842230426e+02 -3.766695744e+01 -3.766695744e+01
16 0 +1.509902694e+02 -7.089973061e+01 -7.089973061e+01
18 0 +1.227482197e+02 -9.914178034e+01 -9.914178034e+01
33 0 +1.183323348e+02 -1.035576652e+02 -1.035576652e+02
41 0 +7.825488884e+01 -1.436351112e+02 -1.436351112e+02
427 0 +7.124860068e+01 -1.506413993e+02 -1.506413993e+02
503 0 +6.500911584e+01 -1.568808842e+02 -1.568808842e+02
504 0 +5.732056382e+01 -1.645694362e+02 -1.645694362e+02
